WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Livingston,GB,55.9029,-3.5226,47.68,89,40,8.05,moderate rain
267,Luancheng,CN,37.8792,114.6517,68.16,32,16,5.21,few clouds
268,Haines Junction,CA,60.7522,-137.5108,22.95,80,89,1.14,overcast clouds
269,Coro,VE,11.4045,-69.6734,79.34,86,100,7.67,overcast clouds
270,Vila Velha,BR,-20.3297,-40.2925,73.35,88,90,11.5,overcast clouds
271,Yar-Sale,RU,66.8333,70.8333,12.29,91,100,21.41,overcast clouds
272,Puerto Penasco,MX,31.3167,-113.5333,74.91,78,0,3.0,clear sky
273,Hai Duong,VN,20.9333,106.3167,71.6,87,100,7.16,overcast clouds
274,Pimentel,PE,-6.8367,-79.9342,62.91,89,96,10.76,overcast clouds
275,Narvik,NO,68.4384,17.4272,41.59,79,100,6.93,overcast clouds
276,Hyeres,FR,43.1167,6.1167,64.15,85,75,16.11,broken clouds
277,Kamina,CD,-8.7386,24.9906,62.92,97,20,3.27,few clouds
278,Hasaki,JP,35.7333,140.8333,70.29,45,6,4.92,clear sky
279,Tazovskiy,RU,67.4667,78.7,14.22,93,97,3.36,overcast clouds
280,Walvis Bay,NA,-22.9575,14.5053,56.08,100,0,10.36,clear sky
281,Cranbrook,CA,49.4999,-115.7688,37.24,87,20,4.61,few clouds
282,Capoterra,IT,39.1763,8.9718,53.56,90,0,4.61,clear sky
283,Thompson,CA,55.7435,-97.8558,33.96,93,40,2.3,scattered clouds
284,Upernavik,GL,72.7868,-56.1549,19.83,62,0,7.74,clear sky
285,Japura,ID,-0.3167,102.35,90.5,55,100,3.0,overcast clouds
286,Saskylakh,RU,71.9167,114.0833,-6.05,96,98,9.37,overcast clouds
287,Beloha,MG,-25.1667,45.05,67.33,59,79,15.88,broken clouds
288,Jalu,LY,29.0331,21.5482,65.26,76,0,7.16,clear sky
289,Alyangula,AU,-13.8483,136.4192,93.07,52,40,11.5,scattered clouds
290,Nioro,GM,13.35,-15.75,77.74,79,98,4.21,overcast clouds
291,Muncar,ID,-8.4333,114.3333,85.62,70,96,6.87,overcast clouds
292,Khatanga,RU,71.9667,102.5,6.82,88,100,6.67,overcast clouds
293,Labuhan,ID,-6.8844,112.2051,88.34,61,94,4.76,overcast clouds
294,Perehonivka,UA,48.5355,30.5192,40.93,86,4,6.46,clear sky
295,Hami,CN,42.8,93.45,55.18,32,92,3.44,overcast clouds
296,Barga,IT,44.0742,10.4808,50.04,87,31,3.31,scattered clouds
297,Svetlogorsk,BY,52.6333,29.7333,43.32,93,10,8.19,clear sky
298,Mount Isa,AU,-20.7333,139.5,82.17,32,99,3.44,overcast clouds
299,Margherita,IN,27.2833,95.6833,78.28,57,29,2.21,scattered clouds
300,Fort Dodge,US,42.4975,-94.168,44.6,81,1,3.44,clear sky
301,Thunder Bay,CA,48.4001,-89.3168,38.28,100,1,0.0,fog
302,Geraldton,AU,-28.7667,114.6,79.21,34,0,14.97,clear sky
303,Baryatino,RU,54.3121,34.521,42.13,96,71,8.01,broken clouds
304,Akcakoca,TR,41.0866,31.1162,51.24,75,0,2.77,clear sky
305,Atlantic Beach,US,30.3344,-81.3987,64.98,89,80,1.01,broken clouds
306,Dhidhdhoo,MV,6.8833,73.1,81.7,73,100,7.05,overcast clouds
307,Taltal,CL,-25.4,-70.4833,60.49,78,26,2.35,scattered clouds
308,Kruisfontein,ZA,-34.0033,24.7314,60.89,83,3,14.23,clear sky
309,Nianzishan,CN,47.5167,122.8833,39.16,48,100,21.36,overcast clouds
310,Jinxiang,CN,27.4327,120.6062,70.02,66,41,4.07,scattered clouds
311,Nanning,CN,22.8167,108.3167,66.65,90,100,5.26,light rain
312,Bridlington,GB,54.0831,-0.1919,51.98,87,84,19.6,broken clouds
313,Tabas,IR,33.5959,56.9244,67.91,24,10,1.07,clear sky
314,Pacific Grove,US,36.6177,-121.9166,65.61,91,90,3.0,overcast clouds
315,Tiarei,PF,-17.5333,-149.3333,80.62,75,15,15.41,few clouds
316,Muyezerskiy,RU,63.9333,31.65,43.57,98,100,7.16,overcast clouds
317,Dingle,PH,10.9995,122.6711,82.8,78,98,10.92,light rain
318,Nantucket,US,41.2835,-70.0995,54.14,81,47,22.12,scattered clouds
319,Kawalu,ID,-7.3817,108.2082,83.01,74,100,4.68,overcast clouds
320,Mayo,US,38.8876,-76.5119,60.98,95,69,1.99,moderate rain
321,Raton,US,36.9034,-104.4391,50.58,39,0,4.0,clear sky
322,Chekhov,RU,55.1431,37.4711,50.09,94,93,9.44,overcast clouds
323,Margate,GB,51.3813,1.3862,55.31,82,99,5.01,overcast clouds
324,Hokitika,NZ,-42.7167,170.9667,61.12,71,51,7.87,broken clouds
325,Ardakan,IR,32.31,54.0175,57.58,30,31,6.33,scattered clouds
326,Lamu,KE,-2.2717,40.902,73.62,75,13,6.46,few clouds
327,Kiama,AU,-34.6833,150.8667,66.38,51,76,1.99,broken clouds
328,Hearst,CA,49.6835,-83.6665,43.05,98,88,4.16,overcast clouds
329,Goderich,CA,43.7501,-81.7165,48.9,81,100,12.66,overcast clouds
330,Kinablangan,PH,7.6947,126.5503,85.19,72,67,7.58,broken clouds
331,Imeni Poliny Osipenko,RU,52.4201,136.4853,36.1,81,100,17.09,overcast clouds
332,Asau,RO,46.4333,26.4,40.28,96,0,1.99,clear sky
333,Forio,IT,40.7342,13.8646,62.82,79,88,3.0,overcast clouds
334,Srandakan,ID,-7.9386,110.2506,84.4,72,100,10.04,moderate rain
335,Port-Gentil,GA,-0.7193,8.7815,79.14,84,99,7.47,moderate rain
336,Valparaiso,CL,-33.0393,-71.6273,49.64,93,0,0.0,clear sky
337,Diamantino,BR,-14.4086,-56.4461,75.97,74,98,2.51,overcast clouds
338,La Ligua,CL,-32.4524,-71.2311,47.98,81,3,0.29,clear sky
339,Sinnamary,GF,5.3833,-52.95,78.69,85,18,8.43,few clouds
340,Hambantota,LK,6.1241,81.1185,82.74,89,40,4.61,scattered clouds
341,Hovd,MN,48.0056,91.6419,39.94,32,5,2.28,clear sky
342,Roma,US,43.2128,-75.4557,48.83,69,100,1.01,light rain
343,Sayyan,YE,15.1718,44.3244,50.74,42,0,6.91,clear sky
344,Wanning,CN,18.8003,110.3967,79.14,86,56,8.72,light rain
345,Kununurra,AU,-15.7667,128.7333,96.78,44,10,10.36,clear sky
346,Katsuura,JP,35.1333,140.3,66.24,50,21,4.76,few clouds
347,Sola,VU,-13.8833,167.55,88.47,70,75,5.75,broken clouds
348,Saint-Augustin,CA,51.226,-58.6502,39.72,54,0,3.51,clear sky
349,Pisco,PE,-13.7,-76.2167,61.02,88,0,12.66,clear sky
350,Umm Kaddadah,SD,13.6017,26.6876,78.06,19,18,10.45,few clouds
351,Puerto Escondido,MX,15.85,-97.0667,79.86,84,47,3.87,scattered clouds
352,Urengoy,RU,65.9667,78.3667,3.02,100,72,3.58,broken clouds
353,Changde,CN,29.0464,111.6783,70.79,49,2,1.81,clear sky
354,Ugento,IT,39.9263,18.1574,56.46,74,94,7.81,overcast clouds
355,Alekseyevsk,RU,57.8406,108.3492,34.84,37,100,8.16,overcast clouds
356,Nouadhibou,MR,20.931,-17.0347,67.98,77,0,14.97,clear sky
357,Portobelo,PA,9.55,-79.65,76.62,84,100,5.68,overcast clouds
358,Iguape,BR,-24.7081,-47.5553,67.84,94,42,5.99,scattered clouds
359,Terrak,NO,65.087,12.3715,53.47,87,100,8.79,overcast clouds
360,Orlik,RU,52.5178,99.825,31.93,58,77,3.69,broken clouds
361,Shebunino,RU,46.4339,141.8603,50.86,62,0,9.42,clear sky
362,Namibe,AO,-15.1961,12.1522,65.7,85,38,1.59,scattered clouds
363,Kahului,US,20.8947,-156.47,79.86,81,41,5.99,scattered clouds
364,Kamaishi,JP,39.2667,141.8833,59.95,59,2,6.06,clear sky
365,Port Arthur,CN,38.8,121.2667,60.91,91,59,6.69,broken clouds
366,Salinas,US,36.6777,-121.6555,66.0,84,40,9.22,scattered clouds
367,Wewak,PG,-3.5534,143.6268,85.17,72,77,8.28,broken clouds
368,Olafsvik,IS,64.8945,-23.7142,39.67,89,100,24.79,overcast clouds
369,Srednekolymsk,RU,67.45,153.6833,3.16,96,100,4.81,overcast clouds
370,Springdale,US,36.1867,-94.1288,49.82,90,90,5.99,overcast clouds
371,Okato,NZ,-39.2,173.8833,60.42,94,72,13.11,light rain
372,Lerwick,GB,60.1545,-1.1494,50.0,85,100,20.56,overcast clouds
373,Dutse,NG,11.7594,9.3392,73.53,23,86,4.63,overcast clouds
374,Itauna,BR,-20.0753,-44.5764,64.99,87,51,4.59,broken clouds
375,Acapulco,MX,16.8634,-99.8901,79.3,86,22,3.8,few clouds
376,Taoudenni,ML,22.6783,-3.9836,78.24,18,92,9.35,overcast clouds
377,Itaituba,BR,-4.2761,-55.9836,75.29,82,46,1.34,scattered clouds
378,Porto Walter,BR,-8.2686,-72.7439,71.53,96,14,1.9,few clouds
379,Quatre Cocos,MU,-20.2078,57.7625,73.09,80,72,5.73,broken clouds
380,Deputatskiy,RU,69.3,139.9,7.07,90,100,6.46,overcast clouds
381,Kikwit,CD,-5.041,18.8162,67.21,99,86,0.67,overcast clouds
382,Masumbwe,TZ,-3.6333,32.1833,70.68,64,80,2.28,broken clouds
383,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,40.84,81,65,4.16,broken clouds
384,Caconda,AO,-13.7333,15.0667,63.97,81,100,1.92,overcast clouds
385,Bilma,NE,18.6853,12.9164,75.36,26,6,11.43,clear sky
386,Kimparana,ML,12.8347,-4.9244,82.49,51,97,4.56,overcast clouds
387,Paamiut,GL,61.994,-49.6678,30.36,77,94,4.32,overcast clouds
388,Stillwater,US,36.1156,-97.0584,50.29,60,0,8.01,clear sky
389,Mackay,AU,-21.15,149.2,93.69,55,3,14.97,clear sky
390,Inhambupe,BR,-11.7844,-38.3531,66.25,90,5,2.73,clear sky
391,Kilindoni,TZ,-7.9139,39.6668,78.96,75,96,7.67,overcast clouds
392,New Glasgow,CA,45.5834,-62.6486,49.78,89,4,3.47,clear sky
393,San Ignacio,BZ,17.1561,-89.0714,75.34,88,0,4.61,clear sky
394,Yarmouth,US,41.7057,-70.2286,54.14,82,73,8.01,broken clouds
395,Ketchikan,US,55.3422,-131.6461,43.27,87,90,5.75,light rain
396,Mandla,IN,22.6,80.3833,73.81,45,26,5.32,scattered clouds
397,Aklavik,CA,68.2191,-135.0107,25.63,97,76,4.36,broken clouds
398,Edd,ER,13.9297,41.6925,83.62,53,0,14.2,clear sky
399,San Patricio,US,28.017,-97.5169,71.83,29,0,7.2,clear sky
400,Gamba,GA,-2.65,10.0,76.93,91,97,5.73,light rain
401,Kyrylivka,UA,46.3759,35.3675,49.46,85,4,14.43,clear sky
402,Ajaccio,FR,42.0,8.9167,50.05,93,0,9.22,clear sky
403,Mollendo,PE,-17.0231,-72.0147,63.97,83,56,5.77,broken clouds
404,Namtsy,RU,62.7161,129.6658,10.51,82,88,7.74,overcast clouds
405,Mana,GF,5.6592,-53.7767,78.3,85,52,8.21,broken clouds
406,Sheopur,IN,25.6667,76.7,74.21,41,0,2.28,clear sky
407,Saint George,US,37.1041,-113.5841,67.53,50,1,1.99,clear sky
408,Pangai,TO,-19.8,-174.35,80.71,61,75,14.97,broken clouds
409,Dawei,MM,14.0833,98.2,88.52,62,52,0.69,broken clouds
410,Yumen,CN,40.2833,97.2,49.06,32,4,12.73,clear sky
411,Kashan,IR,33.9831,51.4364,60.51,47,100,4.72,overcast clouds
412,Port Macquarie,AU,-31.4333,152.9167,71.89,74,92,11.48,overcast clouds
413,Kozhva,RU,65.1073,57.0459,17.53,90,100,6.91,overcast clouds
414,Skjervoy,NO,70.0311,20.9714,41.56,65,76,6.58,broken clouds
415,Sabha,LY,27.0377,14.4283,66.13,37,87,6.67,overcast clouds
416,Emba,KZ,48.8264,58.1442,42.06,85,99,4.97,overcast clouds
417,Verkhnevilyuysk,RU,63.4453,120.3167,13.37,71,9,3.11,clear sky
418,Vestmannaeyjar,IS,63.4427,-20.2734,45.99,80,70,14.16,broken clouds
419,Antalaha,MG,-14.9003,50.2788,74.35,82,100,5.97,overcast clouds
420,Saint-Francois,FR,46.4154,3.9054,60.48,73,100,11.5,overcast clouds
421,Liku,ID,-0.7275,119.8922,83.75,79,96,2.15,overcast clouds
422,Bassano Del Grappa,IT,45.7676,11.7357,46.45,69,13,4.12,few clouds
423,Qandala,SO,11.472,49.8728,80.37,70,1,6.26,clear sky
424,Toora-Khem,RU,52.4675,96.11,37.0,59,75,2.39,broken clouds
425,Evensk,RU,61.95,159.2333,20.37,80,100,5.97,overcast clouds
426,Mecca,SA,21.4267,39.8261,80.87,46,0,1.63,clear sky
427,Sorland,NO,67.667,12.6934,46.09,75,100,25.21,overcast clouds
428,Ambilobe,MG,-13.2,49.05,79.97,68,3,1.34,clear sky
429,Mount Gambier,AU,-37.8333,140.7667,57.11,54,75,9.22,broken clouds
430,Safaga,EG,26.7292,33.9365,75.15,41,91,11.01,overcast clouds
431,Kattivakkam,IN,13.2167,80.3167,86.09,71,98,10.51,overcast clouds
432,Cuamba,MZ,-14.8031,36.5372,66.9,57,6,2.57,clear sky
433,Atasu,KZ,48.6814,71.6433,34.02,50,100,9.75,overcast clouds
434,Cedar City,US,37.6775,-113.0619,56.39,39,0,5.64,clear sky
435,Maragogi,BR,-9.0122,-35.2225,74.23,77,11,7.34,few clouds
436,Jiaonan,CN,35.8786,119.9753,66.22,51,0,6.78,clear sky
437,Maceio,BR,-9.6658,-35.7353,72.84,94,0,1.14,clear sky
438,Piopio,NZ,-38.4667,175.0167,63.95,80,71,6.33,light rain
439,Bilibino,RU,68.0546,166.4372,-14.06,91,89,3.89,overcast clouds
440,Zaranj,AF,30.9667,61.8833,48.16,28,19,6.2,few clouds
441,Thabazimbi,ZA,-24.5917,27.4116,66.25,77,47,1.34,scattered clouds
442,Mulhouse,FR,47.6667,7.4167,47.77,91,88,1.99,overcast clouds
443,Samana,DO,19.2056,-69.3369,75.2,83,0,3.62,clear sky
444,Vorontsovka,RU,50.6132,40.3549,37.92,90,11,4.09,few clouds
445,Port Blair,IN,11.6667,92.75,84.24,84,40,5.75,scattered clouds
446,Slyudyanka,RU,51.6594,103.7061,44.49,55,22,2.51,few clouds
447,Cairns,AU,-16.9167,145.7667,95.95,62,3,11.5,clear sky
448,Bajil,YE,15.0584,43.2851,81.36,59,0,1.41,clear sky
449,Multan,PK,30.1956,71.4753,69.69,68,0,0.0,smoke
450,Leeton,AU,-34.5667,146.4,66.11,22,0,17.27,clear sky
451,Hobyo,SO,5.3505,48.5268,80.67,70,45,11.16,light rain
452,Yining,CN,29.0361,114.5636,74.08,52,8,1.63,clear sky
453,Conceicao Da Barra,BR,-18.5933,-39.7322,70.97,90,89,3.15,overcast clouds
454,Berbera,SO,10.4396,45.0143,81.16,58,71,6.89,broken clouds
455,Te Anau,NZ,-45.4167,167.7167,56.61,93,95,4.0,overcast clouds
456,Masuguru,TZ,-11.3667,38.4167,73.67,72,63,5.08,broken clouds
457,Kovur,IN,14.4833,79.9833,82.67,74,100,6.51,overcast clouds
458,Samarai,PG,-10.6167,150.6667,85.32,72,13,11.39,few clouds
459,Lavrentiya,RU,65.5833,-171.0,15.28,83,100,5.88,overcast clouds
460,Xingyi,CN,24.1877,102.817,60.33,90,100,3.33,light rain
461,San Benito Abad,CO,8.929,-75.0271,71.15,95,97,1.12,overcast clouds
462,Vitoria,BR,-20.3194,-40.3378,73.26,88,90,11.5,overcast clouds
463,Kushmurun,KZ,52.4503,64.6311,32.16,52,77,1.54,broken clouds
464,Palmas,BR,-10.2128,-48.3603,82.27,69,0,3.44,clear sky
465,Kavieng,PG,-2.5744,150.7967,85.69,66,90,7.2,light rain
466,Lubumbashi,CD,-11.6609,27.4794,63.19,56,20,3.33,few clouds
467,Esperance,AU,-33.8667,121.9,66.04,51,0,5.64,clear sky
468,Qasigiannguit,GL,68.8193,-51.1922,22.69,91,100,6.35,overcast clouds
469,Kupang,ID,-10.1667,123.5833,91.98,62,40,10.36,light thunderstorm
470,Nara,JP,34.6851,135.8049,67.91,46,18,2.28,few clouds
471,Van,TR,38.4924,43.3831,46.62,84,100,1.63,overcast clouds
472,Khasan,RU,42.4308,130.6434,57.27,60,91,0.36,overcast clouds
473,San Quintin,MX,30.4833,-115.95,64.74,80,0,4.0,clear sky
474,Okahandja,NA,-21.9833,16.9167,64.71,32,2,2.35,clear sky
475,Sulangan,PH,11.1373,123.7228,82.85,77,80,13.27,broken clouds
476,Viedma,AR,-40.8135,-62.9967,71.46,59,100,15.03,overcast clouds
477,Selenduma,RU,50.9131,106.2406,37.54,34,10,5.46,clear sky
478,Vostok,RU,46.4856,135.8833,48.78,41,74,3.04,broken clouds
479,Buchanan,LR,5.8808,-10.0467,75.16,90,98,4.36,light rain
480,Nouakchott,MR,18.0858,-15.9785,76.93,59,96,12.35,overcast clouds
481,Mortka,RU,59.3322,66.0214,20.75,81,93,8.95,overcast clouds
482,Tucuma,BR,-0.1833,-50.05,76.8,91,85,6.73,overcast clouds
483,Chuy,UY,-33.6971,-53.4616,64.18,90,28,11.81,scattered clouds
484,Pangnirtung,CA,66.1451,-65.7125,34.83,97,100,6.31,moderate rain
485,Oranjemund,NA,-28.55,16.4333,57.58,85,0,6.46,clear sky
486,Shahr-E Babak,IR,30.1165,55.1186,58.77,38,88,3.94,overcast clouds
487,Sisimiut,GL,66.9395,-53.6735,30.09,86,100,11.3,overcast clouds
488,Shushtar,IR,32.0455,48.8567,75.58,45,96,7.85,overcast clouds
489,Rawah,IQ,34.4816,41.9093,67.98,42,100,7.85,overcast clouds
490,Petershagen,DE,52.3833,8.9667,54.41,75,75,12.66,broken clouds
491,Ust-Nera,RU,64.5667,143.2,4.96,98,100,2.3,overcast clouds
492,Boundiali,CI,9.5217,-6.4869,71.46,93,82,0.92,light rain
493,Aksarka,RU,66.5606,67.7975,4.32,94,95,3.8,overcast clouds
494,Praia,CV,14.9215,-23.5087,75.74,94,75,8.05,broken clouds
495,Zongolica,MX,18.6667,-96.9833,58.26,87,45,3.06,scattered clouds
496,Talbahat,IN,25.05,78.4333,73.65,40,16,4.54,few clouds
497,Maniitsoq,GL,65.4167,-52.9,32.58,81,100,14.14,overcast clouds
498,Leshukonskoye,RU,64.8989,45.7622,36.64,96,100,9.44,overcast clouds
499,Qaqortoq,GL,60.7167,-46.0333,27.45,88,43,4.14,scattered clouds
500,Calabazar De Sagua,CU,22.6447,-79.8961,73.87,93,97,5.99,overcast clouds
501,Gravdal,NO,68.1214,13.5031,43.93,78,100,14.5,overcast clouds
502,Fernie,CA,49.5,-115.0687,36.57,98,100,1.7,overcast clouds
503,Izumo,JP,35.3667,132.7667,66.15,63,75,5.75,broken clouds
504,Kodinsk,RU,58.6881,99.1844,38.35,69,100,9.13,overcast clouds
505,Nueva Loja,EC,0.0847,-76.8828,70.07,99,100,1.41,overcast clouds
506,Mushie,CD,-3.0167,16.9,70.11,95,99,1.48,overcast clouds
507,Kozluk,TR,38.1938,41.4885,50.25,75,100,4.07,overcast clouds
508,Krasnoselkup,RU,65.7,82.4667,10.33,95,96,8.08,overcast clouds
509,Banjar,ID,-8.19,114.9675,82.26,74,87,0.58,overcast clouds
510,Ahuimanu,US,21.4447,-157.8378,81.75,68,13,6.64,few clouds
511,Waddan,LY,29.1614,16.139,63.73,42,1,2.93,clear sky
512,Agogo,GH,6.8,-1.0819,69.96,99,94,4.25,overcast clouds
513,Penzance,GB,50.1186,-5.5371,49.21,74,77,20.89,broken clouds
514,Batemans Bay,AU,-35.7167,150.1833,71.2,42,51,9.17,broken clouds
515,Miri,MY,4.4148,114.0089,86.14,74,40,5.75,scattered clouds
516,Bichena,ET,10.45,38.2,49.01,56,7,2.01,clear sky
517,Wilmington,US,34.2257,-77.9447,70.86,64,12,6.96,few clouds
518,Darhan,MN,49.4867,105.9228,37.9,33,0,7.52,clear sky
519,Chany,RU,55.3121,76.7647,26.33,58,8,12.44,clear sky
520,Mansa,IN,29.9833,75.3833,76.5,28,0,5.68,clear sky
521,Ottumwa,US,41.02,-92.4113,50.95,87,76,4.0,broken clouds
522,Sioux Lookout,CA,50.1001,-91.917,41.38,100,75,4.61,broken clouds
523,Soto La Marina,MX,23.7667,-98.2167,59.77,41,0,4.5,clear sky
524,Usak,TR,38.5,29.4167,45.25,70,0,7.02,clear sky
